sample_id,group,combination,prediction_png,prediction_sha256,target_png,target_sha256,psnr,ssim,lpips,maniqa,clipiqa,musiq
test/A/rain + haze/015,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/015.png,ff7acac45ff2457e22f117cb8f4f690a8702e9e92e17925f3212f39e969d0ed8,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/015.png,286adb5a1c45ee88f14e1b16e3af420910584bf5ebdd72c40cf75317559c731f,26.47697639465332,0.9241631872131967,0.032727744430303574,0.5544731616973877,0.7098243832588196,69.59437561035156
test/A/rain + haze/016,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/016.png,7bd60201dd1684b9e50ad16c22e97528471676c0afc5142cdbe9dd24d939f338,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/016.png,ddc71b4b9bd2a57cabf985c7743b8ff7083a0d9205008603edb440ba27da9313,25.634292602539062,0.9247575650284889,0.04886038228869438,0.5003827214241028,0.6242070198059082,75.37928009033203
test/A/rain + haze/017,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/017.png,34da6a1a33057fa6dc5c1fdbd4d21c778ef8c49c395c26005b262d75a843d9fe,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/017.png,ab3ab0c03c2d8c9c0befbcad219fae23c9795fdf99d664630f4f4febbd02c519,30.568531036376953,0.9338611938298046,0.03516276925802231,0.5475680828094482,0.8283834457397461,72.8677749633789
test/A/rain + haze/018,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/018.png,5537e0500fb7a6fdb76358c1be0ba01e7e291ce8bd8dcc2dceeceadcf01d4e8a,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/018.png,66db8e4aeb78f506ae4415572eb910726c3f16ede70138093ab4eced187b8df1,25.662002563476562,0.9227507456729556,0.06438775360584259,0.49791011214256287,0.6946512460708618,67.7386703491211
test/A/rain + haze/019,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/019.png,b2637a30bc833191067ee6bfb21b29c202bc6415729d7b8b25f1e291654ac61d,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/019.png,fb026cef85a4f7e64ad7c5f064ed15de1f04a7a7b6bde70b28ee78a55db21aeb,26.098190307617188,0.9228201421290295,0.055895980447530746,0.39783674478530884,0.5694371461868286,63.324493408203125
test/A/rain + haze/020,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/020.png,ae6b4e1580ace12f8e3bb05beaffe949a2f8b1f7e10a004eb48fc0d39d6eb723,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/020.png,daa15d9f51eab9eca70197a7f05df7873e3eab75e432b0a81fe9488be552f37a,24.894718170166016,0.9299634800083826,0.0396253801882267,0.44986724853515625,0.4867017865180969,64.3145751953125
test/A/rain + haze/023,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/023.png,4d65ff47b22b12c3aa2b0b3f43ce1f2bd12b15553b6bc0347ce15070e2989b96,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/023.png,befde78eca5789c87200ca1e2ac905ba8ad5706b50af86454bd30bc857c90e02,22.094501495361328,0.8816152715200768,0.16080418229103088,0.37620168924331665,0.5152363181114197,67.01622772216797
test/A/rain + haze/024,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/024.png,d5001a915369ef5063c61ba946f5bed6e7f9666d881c2d91d6b0ac9fc7e2e884,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/024.png,e51441e174dd8dc0c47872ccb4221ab3f054b716588ee0f42d58a56098bd9538,26.380460739135742,0.9262305447782692,0.05338025838136673,0.39973965287208557,0.7956584692001343,66.50167846679688
test/A/rain + haze/025,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/025.png,411d3c995cc64994ad3cf1412190bdb1996771e18ef68076f45944a21061b16b,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/025.png,f384d4a9bc3c31bc29038378f849002dc4ff2db373d852b732f5cfc24ebed244,25.591190338134766,0.9267541659333182,0.08568480610847473,0.35264626145362854,0.49204960465431213,70.26163482666016
test/A/rain + haze/026,A,rain+haze,/root/autodl-tmp/aaa/graphrestore/artifacts/formal_mio100/graphrestore_v7_1_stage4_step040000/methods/graphrestore_v7_1_stage4_step040000/d2/rain+haze/026.png,f41d7bcad9f571b995604c41c1c4c242d181b6154c93a5dc77eae621fb3f094b,/root/autodl-tmp/graph/data/graphrestore/raw/agenticir/extracted/HQ/026.png,cfce1d4c02a00f28988a64f63cd538c4147c3a72c147a6549d71f1105d671224,25.91625213623047,0.876125909225393,0.16825319826602936,0.2488119751214981,0.38967227935791016,57.78131103515625
